,Loyalty_Number,Country,Province,City,Postal_Code,Gender,Education,Salary,Marital_Status,Loyalty_Card,CLV,Enrollment_Type,Enrollment_Year,Enrollment_Month,Cancellation_Year,Cancellation_Month
12584,441719,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,57235.0,Married,Star,4099.66,Standard,2014,12,2015.0,8.0
12593,144936,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,82675.0,Single,Star,4118.59,Standard,2015,9,2018.0,1.0
12596,436087,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,-46470.0,Married,Star,4786.89,2018 Promotion,2018,4,2018.0,8.0
12599,793742,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,56845.0,Married,Star,4126.61,Standard,2017,7,2018.0,3.0
12618,316323,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Single,Star,4151.67,Standard,2017,8,2018.0,4.0
12625,575015,Canada,New Brunswick,Fredericton,E3B 2H2,Male,College,,Single,Star,4162.18,Standard,2016,11,2017.0,7.0
12626,144702,Canada,Ontario,London,M5B 3E4,Male,Bachelor,63574.0,Married,Star,4163.04,Standard,2013,7,2015.0,10.0
12639,447804,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Married,Star,4177.7,Standard,2015,1,2018.0,2.0
12647,481902,Canada,Newfoundland,St. John's,A1C 6H9,Male,College,,Single,Star,4191.06,Standard,2016,11,2017.0,7.0
12648,710203,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,88287.0,Married,Star,4191.97,Standard,2015,6,2016.0,2.0
12665,602068,Canada,Ontario,Toronto,P2T 6G3,Male,Doctor,99696.0,Married,Star,4223.27,Standard,2016,9,2018.0,3.0
12669,939289,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75108.0,Married,Star,4236.47,Standard,2016,7,2017.0,3.0
12677,761150,Canada,New Brunswick,Moncton,E1A 2A7,Male,College,,Single,Star,4250.28,Standard,2017,6,2018.0,2.0
12683,900977,Canada,Quebec,Montreal,H3T 8L4,Female,Doctor,70996.0,Single,Star,4254.62,Standard,2015,12,2016.0,8.0
12691,753977,Canada,Ontario,Trenton,K8V 4B2,Male,College,,Married,Star,4270.03,Standard,2016,11,2017.0,7.0
12694,960678,Canada,Quebec,Tremblant,H5Y 2S9,Male,College,,Married,Star,4270.03,Standard,2014,8,2014.0,11.0
12699,748831,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,49258.0,Married,Star,4281.06,Standard,2016,12,2017.0,8.0
12708,167219,Canada,New Brunswick,Moncton,E1A 2A7,Male,Bachelor,96733.0,Married,Star,4300.9,Standard,2015,10,2016.0,6.0
12710,196798,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,85577.0,Married,Star,4307.42,Standard,2013,12,2018.0,8.0
12714,734119,Canada,British Columbia,Victoria,V10 6T5,Female,Bachelor,97616.0,Married,Star,4315.67,Standard,2015,8,2016.0,4.0
12721,135878,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,76159.0,Married,Star,4330.39,Standard,2015,4,2018.0,5.0
12729,843672,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,54279.0,Single,Star,4335.68,Standard,2018,5,2018.0,11.0
12730,419237,Canada,Ontario,Toronto,M2Z 4K1,Male,Bachelor,99053.0,Married,Star,4339.87,Standard,2017,3,2017.0,11.0
12749,413305,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,74964.0,Married,Star,4362.93,Standard,2013,9,2015.0,9.0
12752,700731,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,60390.0,Divorced,Star,4363.6,Standard,2017,4,2017.0,12.0
12759,327903,Canada,Ontario,Toronto,M2M 6J7,Female,Bachelor,78573.0,Divorced,Star,4376.36,Standard,2018,1,2018.0,9.0
12760,701708,Canada,British Columbia,Victoria,V10 6T5,Female,Bachelor,78573.0,Divorced,Star,4376.36,Standard,2015,5,2016.0,1.0
12765,210148,Canada,Ontario,Toronto,P1W 1K4,Female,College,,Single,Star,4383.75,Standard,2016,8,2017.0,4.0
12780,353535,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,77241.0,Divorced,Star,4416.21,Standard,2015,2,2016.0,7.0
12805,749362,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,53530.0,Single,Star,4456.02,Standard,2015,1,2015.0,9.0
12821,987612,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,103581.0,Married,Star,4475.05,Standard,2016,9,2018.0,12.0
12825,617108,Canada,Quebec,Quebec City,G1B 3L5,Male,College,,Divorced,Star,4476.81,Standard,2017,1,2017.0,9.0
12826,252147,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,54235.0,Single,Aurora,5384.02,2018 Promotion,2018,4,2018.0,12.0
12837,455234,Canada,Ontario,Trenton,K8V 4B2,Female,College,,Single,Star,4502.67,Standard,2017,7,2018.0,3.0
12840,509614,Canada,Nova Scotia,Halifax,B3J 9S2,Female,College,,Married,Star,4504.16,Standard,2014,7,2015.0,3.0
12852,593007,Canada,Quebec,Montreal,H2Y 4R4,Female,College,,Single,Star,4518.02,Standard,2013,8,2018.0,9.0
12857,112661,Canada,Ontario,London,M5B 3E4,Male,Bachelor,86740.0,Married,Star,4523.75,Standard,2013,8,2017.0,5.0
12861,407648,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,83378.0,Married,Star,4528.5,Standard,2014,11,2015.0,7.0
12873,571845,Canada,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,67969.0,Married,Star,4549.34,Standard,2013,6,2016.0,8.0
12880,107519,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,71792.0,Married,Aurora,5470.06,2018 Promotion,2018,2,2018.0,10.0
12889,229692,Canada,Ontario,London,M5B 3E4,Female,College,,Single,Star,4574.0,Standard,2017,12,2018.0,8.0
12890,129743,Canada,Alberta,Banff,T4V 1D4,Female,Bachelor,104581.0,Single,Star,4574.52,Standard,2014,7,2016.0,2.0
12891,146572,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,61294.0,Married,Star,4579.61,Standard,2014,2,2014.0,10.0
12903,637235,Canada,Yukon,Whitehorse,Y2K 6R0,Female,Bachelor,66651.0,Married,Star,4605.87,Standard,2015,5,2016.0,1.0
12938,421432,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,52625.0,Single,Star,4647.42,Standard,2015,7,2016.0,3.0
12939,149430,Canada,British Columbia,Vancouver,V5R 1W3,Female,Master,128352.0,Single,Star,4650.06,Standard,2018,1,2018.0,9.0
12951,124987,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,76153.0,Married,Star,4666.64,Standard,2013,7,2014.0,3.0
12958,784787,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,58125.0,Married,Star,4674.71,Standard,2016,4,2016.0,12.0
12968,314182,Canada,Quebec,Montreal,H2Y 4R4,Female,College,,Single,Star,4691.04,Standard,2014,8,2016.0,11.0
12969,220601,Canada,Manitoba,Winnipeg,R3R 3T4,Female,Bachelor,92301.0,Single,Star,4692.05,Standard,2013,7,2013.0,11.0
12973,954424,Canada,Ontario,Kingston,M9K 2P4,Female,College,,Single,Star,4698.76,Standard,2016,1,2018.0,8.0
12974,691332,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,88724.0,Married,Aurora,5723.54,2018 Promotion,2018,4,2018.0,12.0
12983,597630,Canada,Quebec,Montreal,H3T 8L4,Male,College,,Married,Star,4715.29,Standard,2015,12,2017.0,4.0
12988,198407,Canada,Ontario,Toronto,M2M 6J7,Female,Doctor,118821.0,Divorced,Star,4718.56,Standard,2016,3,2016.0,11.0
12989,601583,Canada,Alberta,Calgary,T3E 2V9,Male,Doctor,118821.0,Divorced,Star,4718.56,Standard,2016,10,2018.0,4.0
12990,352581,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,51135.0,Single,Star,4720.61,Standard,2017,1,2017.0,9.0
13000,833627,Canada,Ontario,Toronto,M2M 6J7,Female,Bachelor,54361.0,Single,Star,4731.37,Standard,2017,10,2018.0,6.0
13020,794348,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Single,Star,4755.48,Standard,2017,1,2017.0,9.0
13044,773857,Canada,Ontario,Toronto,M2M 7K8,Male,High School or Below,45229.0,Single,Star,4770.55,Standard,2013,12,2014.0,8.0
13045,790287,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,87662.0,Single,Star,4770.98,Standard,2017,10,2018.0,6.0
13057,644417,Canada,British Columbia,Victoria,V10 6T5,Female,College,,Divorced,Star,4778.68,Standard,2017,3,2017.0,11.0
13059,405465,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,68343.0,Married,Star,4783.92,Standard,2013,8,2014.0,4.0
13064,985622,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,65000.0,Single,Star,4787.81,Standard,2015,4,2015.0,12.0
13066,874589,Canada,British Columbia,Vancouver,V5R 1W3,Female,High School or Below,61579.0,Divorced,Star,4792.83,Standard,2017,5,2018.0,1.0
13071,887026,Canada,Ontario,Toronto,M1R 4K3,Male,High School or Below,56173.0,Married,Star,4801.66,Standard,2015,2,2016.0,9.0
13072,377302,Canada,Quebec,Quebec City,G1B 3L5,Male,Doctor,219564.0,Married,Star,4803.78,Standard,2017,3,2017.0,11.0
13084,547994,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,,Single,Star,4813.28,Standard,2016,1,2016.0,7.0
13106,260712,Canada,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,60672.0,Married,Star,4836.89,Standard,2017,8,2018.0,4.0
13112,909854,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,College,,Divorced,Star,4838.98,Standard,2016,1,2016.0,9.0
13128,756973,Canada,Manitoba,Winnipeg,R3R 3T4,Female,Bachelor,58863.0,Married,Star,4862.91,Standard,2014,8,2015.0,9.0
13145,833679,Canada,Ontario,Toronto,P1L 8X8,Female,Doctor,56291.0,Married,Star,4875.32,Standard,2017,4,2018.0,11.0
13148,299366,Canada,Quebec,Montreal,H2T 9K8,Female,College,,Married,Star,4877.61,Standard,2016,2,2017.0,11.0
13169,519213,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,58563.0,Divorced,Star,4896.56,Standard,2013,7,2014.0,3.0
13172,608601,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,85221.0,Divorced,Star,4901.89,Standard,2013,8,2018.0,11.0
13174,206576,Canada,British Columbia,Vancouver,V6E 3D9,Female,Master,79329.0,Divorced,Star,4904.89,Standard,2015,4,2015.0,12.0
13196,997370,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,67898.0,Married,Star,4926.28,Standard,2017,5,2018.0,1.0
13200,572463,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,50663.0,Married,Star,4929.55,Standard,2015,11,2016.0,7.0
13204,842190,Canada,Alberta,Peace River,T9O 2W2,Female,College,,Married,Star,4931.22,Standard,2014,5,2016.0,11.0
13208,335137,Canada,Ontario,Toronto,M1R 4K3,Male,Bachelor,59172.0,Married,Star,4932.92,Standard,2014,12,2018.0,8.0
13215,326240,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,58918.0,Married,Star,4938.89,Standard,2014,11,2017.0,8.0
13225,696026,Canada,Quebec,Montreal,H2Y 4R4,Female,High School or Below,66250.0,Married,Star,4958.02,Standard,2016,8,2017.0,4.0
13229,750922,Canada,Ontario,Toronto,M2Z 4K1,Male,Bachelor,70454.0,Married,Star,4964.63,Standard,2013,4,2013.0,10.0
13247,154136,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,56183.0,Married,Star,4981.83,Standard,2016,9,2017.0,6.0
13252,702938,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,52927.0,Divorced,Star,4983.9,Standard,2015,11,2016.0,7.0
13255,121236,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,95061.0,Married,Star,4984.62,Standard,2017,3,2017.0,11.0
13263,557852,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,86854.0,Married,Star,4993.03,Standard,2014,2,2014.0,10.0
13266,282181,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,84300.0,Married,Star,4996.55,Standard,2014,3,2014.0,11.0
13278,619141,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,69609.0,Married,Star,5007.67,Standard,2016,12,2017.0,8.0
13293,752548,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,90311.0,Married,Star,5017.85,Standard,2017,5,2018.0,8.0
13304,114924,Canada,Ontario,Ottawa,K1F 2R2,Female,College,,Married,Star,5037.95,Standard,2017,11,2018.0,7.0
13305,821944,Canada,Ontario,Toronto,P5S 6R4,Male,Bachelor,85265.0,Married,Star,5038.98,Standard,2016,12,2017.0,8.0
13312,390022,Canada,Quebec,Montreal,H3T 8L4,Male,Bachelor,92396.0,Married,Aurora,8838.09,2018 Promotion,2018,3,2018.0,11.0
13323,238939,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,81205.0,Married,Star,5059.33,Standard,2014,11,2017.0,9.0
13337,961455,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,74135.0,Married,Star,5073.28,Standard,2015,8,2016.0,12.0
13338,105251,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,80885.0,Married,Star,5074.25,Standard,2014,10,2017.0,8.0
13340,481699,Canada,Alberta,Calgary,T3E 2V9,Female,High School or Below,66761.0,Married,Star,5075.66,Standard,2013,8,2014.0,12.0
13349,847502,Canada,Prince Edward Island,Charlottetown,C1A 6E8,Male,Bachelor,46720.0,Married,Star,5091.1,Standard,2017,5,2018.0,1.0
13350,609878,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,66242.0,Married,Star,5092.79,Standard,2015,3,2016.0,10.0
13351,936232,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,66242.0,Married,Star,5092.79,Standard,2015,2,2015.0,10.0
13355,488224,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Doctor,210090.0,Divorced,Star,5096.67,Standard,2013,3,2013.0,7.0
13359,512580,Canada,Ontario,Toronto,M2M 6J7,Male,High School or Below,63745.0,Divorced,Star,5097.53,Standard,2017,6,2018.0,2.0
13363,481987,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,88270.0,Single,Star,5104.35,Standard,2017,2,2017.0,10.0
13380,285386,Canada,Ontario,Toronto,M2M 6J7,Female,College,,Married,Star,5116.24,Standard,2013,10,2014.0,6.0
13386,623154,Canada,British Columbia,Victoria,V10 6T5,Female,Bachelor,74499.0,Married,Star,5122.72,Standard,2016,8,2017.0,4.0
13396,109956,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,89320.0,Married,Star,5137.85,Standard,2017,5,2018.0,1.0
13409,890839,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,92444.0,Married,Star,5154.76,Standard,2014,11,2015.0,6.0
13410,737221,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,College,,Single,Star,5156.07,Standard,2017,1,2017.0,9.0
13419,225743,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,63709.0,Married,Star,5165.81,Standard,2015,10,2016.0,6.0
13421,122517,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,91030.0,Married,Star,5166.19,Standard,2016,7,2017.0,3.0
13424,236037,Canada,Ontario,Ottawa,K1F 2R2,Female,High School or Below,44092.0,Single,Star,5169.5,Standard,2016,2,2016.0,10.0
13432,201475,Canada,Quebec,Montreal,H3T 8L4,Male,Bachelor,57924.0,Married,Aurora,9705.31,2018 Promotion,2018,3,2018.0,11.0
13444,839494,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,20755.0,Divorced,Aurora,10455.49,2018 Promotion,2018,4,2018.0,12.0
13452,620792,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,49030.0,Single,Star,5200.23,Standard,2017,2,2017.0,6.0
13462,679531,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,100978.0,Married,Star,5206.11,Standard,2015,8,2017.0,7.0
13474,369715,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,94633.0,Married,Star,5218.34,Standard,2018,1,2018.0,10.0
13482,217967,Canada,Ontario,Toronto,M2P 4F6,Male,College,,Single,Star,5227.77,Standard,2016,12,2017.0,8.0
13487,872706,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,5232.33,Standard,2015,10,2016.0,6.0
13489,161650,Canada,Ontario,Toronto,M2M 7K8,Female,Bachelor,80902.0,Married,Star,5234.33,Standard,2017,1,2017.0,9.0
13498,110603,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,53061.0,Married,Star,5246.28,Standard,2017,10,2017.0,10.0
13501,240135,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,53061.0,Married,Star,5246.28,Standard,2017,12,2018.0,8.0
13503,710473,Canada,Quebec,Montreal,H2Y 4R4,Female,College,,Married,Star,5248.98,Standard,2016,2,2016.0,11.0
13508,462078,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,72997.0,Single,Star,5257.24,Standard,2015,8,2016.0,8.0
13524,717772,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,60156.0,Single,Star,5282.54,Standard,2015,9,2016.0,5.0
13540,655473,Canada,Ontario,Toronto,M2M 7K8,Female,High School or Below,68518.0,Married,Star,5297.15,Standard,2014,2,2014.0,10.0
13553,128754,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,65462.0,Divorced,Star,5316.64,Standard,2014,2,2017.0,7.0
13558,428872,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,55407.0,Married,Star,5320.61,Standard,2014,6,2015.0,3.0
13560,627913,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,56553.0,Single,Star,5322.29,Standard,2014,2,2014.0,10.0
13561,203143,Canada,Ontario,Toronto,P2T 6G3,Female,Bachelor,72364.0,Single,Star,5323.27,Standard,2013,7,2017.0,9.0
13564,364596,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,-26322.0,Single,Aurora,16710.84,2018 Promotion,2018,4,2018.0,12.0
13573,377642,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,63863.0,Married,Star,5329.08,Standard,2016,2,2016.0,10.0
13583,517614,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,82347.0,Married,Star,5332.46,Standard,2017,10,2018.0,6.0
13598,636206,Canada,Manitoba,Winnipeg,R2C 0M5,Male,College,,Married,Star,5340.81,Standard,2014,8,2014.0,11.0
13605,118688,Canada,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,55009.0,Married,Star,5348.3,Standard,2013,8,2016.0,7.0
13606,118511,Canada,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,97148.0,Single,Star,5350.0,Standard,2014,4,2017.0,2.0
13634,792412,Canada,British Columbia,Vancouver,V5R 1W3,Male,Doctor,86182.0,Married,Star,5384.67,Standard,2016,8,2017.0,4.0
13635,357166,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,56578.0,Married,Star,5386.33,Standard,2014,7,2016.0,5.0
13637,579245,Canada,Ontario,Toronto,M2M 7K8,Female,Bachelor,73496.0,Married,Star,5387.93,Standard,2016,3,2016.0,11.0
13650,863942,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,87109.0,Single,Star,5392.44,Standard,2013,5,2015.0,11.0
13652,635398,Canada,British Columbia,Victoria,V10 6T5,Female,Bachelor,90849.0,Married,Star,5392.5,Standard,2014,10,2015.0,6.0
13660,527414,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,83167.0,Married,Star,5395.83,Standard,2013,1,2013.0,6.0
13671,582427,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,72879.0,Married,Star,5412.46,Standard,2016,12,2018.0,11.0
13677,716236,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,94433.0,Single,Star,5421.54,Standard,2017,2,2017.0,10.0
13685,204507,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,52646.0,Married,Star,5437.44,Standard,2015,11,2016.0,12.0
13692,311952,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,63438.0,Married,Star,5450.39,Standard,2017,10,2018.0,6.0
13710,299448,Canada,Ontario,Toronto,P2T 6G3,Female,Bachelor,72888.0,Married,Star,5479.56,Standard,2013,3,2015.0,6.0
13717,532752,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,89953.0,Married,Star,5482.55,Standard,2015,2,2015.0,10.0
13720,991210,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,69184.0,Divorced,Star,5489.21,Standard,2017,3,2017.0,11.0
13750,310867,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,66278.0,Married,Star,5522.77,Standard,2016,9,2016.0,11.0
13751,565787,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,100860.0,Married,Star,5526.44,Standard,2014,11,2015.0,8.0
13772,162485,Canada,Manitoba,Winnipeg,R2C 0M5,Male,College,,Single,Star,5553.76,Standard,2015,11,2018.0,1.0
13775,700924,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,62532.0,Single,Star,5555.56,Standard,2017,7,2018.0,11.0
13782,650366,Canada,Ontario,London,M5B 3E4,Male,College,,Single,Star,5558.31,Standard,2015,3,2015.0,10.0
13794,463947,Canada,Quebec,Montreal,H2T 2J6,Male,Doctor,207468.0,Married,Star,5570.18,Standard,2015,1,2016.0,7.0
13799,661069,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,88445.0,Married,Star,5577.24,Standard,2013,9,2017.0,12.0
13804,324713,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,50332.0,Married,Star,5580.96,Standard,2014,12,2016.0,1.0
13822,954599,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,59709.0,Married,Star,5597.12,Standard,2013,9,2015.0,11.0
13826,337812,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,101631.0,Married,Star,5603.74,Standard,2015,3,2015.0,11.0
13837,153645,Canada,Quebec,Montreal,H2Y 4R4,Female,College,,Married,Star,5619.69,Standard,2016,5,2017.0,1.0
13849,779211,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,59417.0,Married,Star,5633.95,Standard,2015,2,2017.0,9.0
13851,766562,Canada,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,75318.0,Married,Star,5635.29,Standard,2017,11,2018.0,7.0
13865,708151,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,61060.0,Single,Star,5646.32,Standard,2014,5,2016.0,10.0
13871,189294,Canada,Quebec,Montreal,H2T 9K8,Male,High School or Below,66968.0,Divorced,Nova,3707.28,2018 Promotion,2018,2,2018.0,10.0
13876,585162,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,67145.0,Divorced,Star,5666.7,Standard,2015,7,2016.0,3.0
13879,430519,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,57499.0,Married,Star,5671.93,Standard,2016,2,2016.0,12.0
13896,338295,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,94891.0,Married,Star,5692.68,Standard,2014,9,2015.0,3.0
13924,215294,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,97030.0,Divorced,Star,5757.44,Standard,2013,12,2014.0,8.0
13929,524536,Canada,Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,55121.0,Single,Star,5763.27,Standard,2015,4,2016.0,7.0
13947,482351,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,100159.0,Married,Nova,3861.49,2018 Promotion,2018,4,2018.0,12.0
13951,111387,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,101960.0,Married,Star,5793.16,Standard,2013,10,2015.0,4.0
13955,961512,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,79864.0,Married,Star,5799.06,Standard,2014,4,2014.0,12.0
13963,757060,Canada,Alberta,Banff,T4V 1D4,Female,Bachelor,103283.0,Married,Star,5802.07,Standard,2013,5,2015.0,3.0
13968,128245,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,50098.0,Married,Star,5810.63,Standard,2016,7,2017.0,3.0
13972,942287,Canada,Ontario,Toronto,P1L 8X8,Female,College,,Married,Star,5815.05,Standard,2014,1,2016.0,8.0
13979,839263,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,91239.0,Married,Star,5838.9,Standard,2015,10,2018.0,12.0
14006,204926,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,95202.0,Married,Star,5893.37,Standard,2017,2,2017.0,10.0
14010,683910,Canada,British Columbia,Victoria,V10 6T5,Female,Bachelor,53293.0,Married,Star,5897.56,Standard,2017,7,2018.0,8.0
14020,225748,Canada,Quebec,Montreal,H2T 2J6,Female,College,,Married,Star,5907.15,Standard,2015,12,2016.0,8.0
14022,253056,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,84154.0,Married,Star,5908.75,Standard,2013,2,2016.0,1.0
14023,271059,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,84154.0,Married,Star,5908.75,Standard,2016,3,2016.0,11.0
14032,604471,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,111948.0,Married,Star,5926.73,Standard,2015,8,2017.0,6.0
14046,507360,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,77363.0,Married,Star,5943.07,Standard,2015,10,2016.0,6.0
14058,198456,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,74123.0,Divorced,Star,5979.72,Standard,2015,11,2016.0,7.0
14061,639584,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,48697.0,Married,Star,5980.85,Standard,2013,1,2013.0,11.0
14064,582990,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,80816.0,Single,Star,5989.77,Standard,2016,8,2017.0,4.0
14069,688748,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,253369.0,Divorced,Star,5999.38,Standard,2017,9,2018.0,5.0
14070,352734,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,51573.0,Single,Star,6005.21,Standard,2014,1,2014.0,9.0
14071,450987,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,51573.0,Single,Star,6005.21,Standard,2016,12,2017.0,2.0
14075,663975,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Star,6019.96,Standard,2014,9,2017.0,1.0
14081,900325,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,92202.0,Single,Star,6045.63,Standard,2017,8,2017.0,10.0
14093,292035,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,47036.0,Single,Star,6063.2,Standard,2013,7,2015.0,7.0
14113,361680,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,63795.0,Single,Star,6135.08,Standard,2013,8,2014.0,11.0
14116,462279,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,92213.0,Divorced,Nova,4995.21,2018 Promotion,2018,4,2018.0,12.0
14117,332003,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,89586.0,Divorced,Star,6156.36,Standard,2014,3,2014.0,11.0
14127,521699,Canada,Ontario,Toronto,M2M 6J7,Female,Doctor,220552.0,Single,Star,6183.11,Standard,2016,12,2017.0,8.0
14134,619596,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,68069.0,Married,Star,6207.17,Standard,2017,10,2018.0,6.0
